DataHora,Instancia,Algoritmo,Alpha,Iteracoes,TamanhoBloco,Seed,Custo,Tempo(ms),Gap(%)
2026-07-09 02:34:51,grafo3.txt,Guloso,0.00,1,0,628613997,215.00,0.12,4200.00
2026-07-09 02:34:51,grafo3.txt,GRASP,0.10,100,0,628613997,135.00,5.58,2600.00
2026-07-09 02:34:51,grafo3.txt,GRASP,0.30,100,0,628613997,141.00,7.69,2720.00
2026-07-09 02:34:51,grafo3.txt,GRASP,0.70,100,0,628613997,200.00,5.45,3900.00
2026-07-09 02:34:51,grafo3.txt,Reativo,0.00,300,50,628613997,141.00,20.51,2720.00
2026-07-09 02:34:51,grafo3.txt,Guloso,0.00,1,0,2985718188,411.00,0.15,8120.00
2026-07-09 02:34:51,grafo3.txt,GRASP,0.10,100,0,2985718188,141.00,6.21,2720.00
2026-07-09 02:34:51,grafo3.txt,GRASP,0.30,100,0,2985718188,135.00,6.78,2600.00
2026-07-09 02:34:51,grafo3.txt,GRASP,0.70,100,0,2985718188,193.00,6.01,3760.00
2026-07-09 02:34:51,grafo3.txt,Reativo,0.00,300,50,2985718188,135.00,16.72,2600.00
2026-07-09 02:34:51,grafo3.txt,Guloso,0.00,1,0,4012353859,320.00,0.12,6300.00
2026-07-09 02:34:51,grafo3.txt,GRASP,0.10,100,0,4012353859,145.00,5.84,2800.00
2026-07-09 02:34:51,grafo3.txt,GRASP,0.30,100,0,4012353859,135.00,5.96,2600.00
2026-07-09 02:34:51,grafo3.txt,GRASP,0.70,100,0,4012353859,141.00,6.55,2720.00
2026-07-09 02:34:51,grafo3.txt,Reativo,0.00,300,50,4012353859,135.00,17.90,2600.00
2026-07-09 02:34:51,grafo3.txt,Guloso,0.00,1,0,3075770188,173.00,0.22,3360.00
2026-07-09 02:34:51,grafo3.txt,GRASP,0.10,100,0,3075770188,141.00,5.85,2720.00
2026-07-09 02:34:51,grafo3.txt,GRASP,0.30,100,0,3075770188,141.00,5.69,2720.00
2026-07-09 02:34:51,grafo3.txt,GRASP,0.70,100,0,3075770188,135.00,5.88,2600.00
